"","DATE","AMA","AMF","AMK","AMN","ANM","ANT","ASP","ASS","ASV","BHN","CSN","CYO","DAV","EFC","ERS","EWR","FPL","FPR","FRD","FTC","FTM","FTO","FTP","KGC","KGF","KGP","KLO","KRB","KRI","KRK","KWT","LNV","MBS","MDP","MKM","MKW","MRC","MSS","NCD","NPH","OWL","PLK","PSH","RRH","SBB","SCC","SCU","SDT","SFR","SIS","SJF","SJM","SNS","SQS","SRS","SSP","STB","SVC","SWH","THT","TLG","TLM","TLN","TNL","TRF","WFC","WWR","YBG","YBM","YBS","YCB","YRS","AMA_INC","AMF_INC","AMK_INC","AMN_INC","ANM_INC","ANT_INC","ASP_INC","ASS_INC","ASV_INC","BHN_INC","CSN_INC","CYO_INC","DAV_INC","EFC_INC","ERS_INC","EWR_INC","FPL_INC","FPR_INC","FRD_INC","FTC_INC","FTM_INC","FTO_INC","FTP_INC","KGC_INC","KGF_INC","KGP_INC","KLO_INC","KRB_INC","KRI_INC","KRK_INC","KWT_INC","LNV_INC","MBS_INC","MDP_INC","MKM_INC","MKW_INC","MRC_INC","MSS_INC","NCD_INC","NPH_INC","OWL_INC","PLK_INC","PSH_INC","RRH_INC","SBB_INC","SCC_INC","SCU_INC","SDT_INC","SFR_INC","SIS_INC","SJF_INC","SJM_INC","SNS_INC","SQS_INC","SRS_INC","SSP_INC","STB_INC","SVC_INC","SWH_INC","THT_INC","TLG_INC","TLM_INC","TLN_INC","TNL_INC","TRF_INC","WFC_INC","WWR_INC","YBG_INC","YBM_INC","YBS_INC","YCB_INC","YRS_INC"
"234",1920-03-01,83095,243700,NA,44800,13890,NA,1795,15425,NA,1500,57180,7500,NA,NA,346950,NA,173000,23195,NA,NA,67150,282450,24200,NA,97490,104000,NA,40400,NA,27400,32000,NA,NA,12040,45700,5790,80600,80600,33200,NA,14060,2900,224100,NA,519000,NA,NA,47100,4600,NA,103050,82820,96700,NA,NA,NA,14200,NA,NA,NA,161640,26200,26200,42200,22620,NA,5220,30700,NA,15300,NA,189000,38295,115805,NA,44800,13890,NA,1795,15425,NA,1500,57180,7500,NA,NA,346950,NA,NA,23195,NA,NA,NA,18100,24200,NA,-6510,NA,NA,NA,NA,27400,32000,NA,NA,12040,39910,5790,68560,80600,33200,NA,NA,2900,221200,NA,NA,NA,NA,47100,4600,NA,18730,78220,82500,NA,NA,NA,14200,NA,NA,NA,109240,26200,26200,42200,22620,NA,5220,30700,NA,15300,NA,NA
"235",1920-04-01,172840,368200,NA,81200,10730,NA,612,13410,NA,6500,54715,3700,NA,NA,604300,NA,262000,34120,NA,NA,126560,463050,50400,NA,160880,164000,NA,83385,NA,55500,67000,NA,NA,40780,90500,8620,120100,120000,14500,NA,10110,5000,312000,NA,684500,NA,NA,80000,10300,NA,166600,138500,149500,NA,NA,NA,40800,NA,NA,NA,231040,58200,58200,91600,46495,NA,10680,57200,NA,41200,NA,343500,91640,114160,NA,81200,10730,NA,612,13410,NA,6500,54715,3700,NA,NA,604300,NA,NA,34120,NA,NA,NA,24090,50400,NA,-3120,NA,NA,NA,NA,55500,67000,NA,NA,40780,81880,8620,79320,120000,14500,NA,NA,5000,307000,NA,NA,NA,NA,80000,10300,NA,21600,128200,108700,NA,NA,NA,40800,NA,NA,NA,114640,58200,58200,91600,46495,NA,10680,57200,NA,41200,NA,NA
"236",1920-05-01,208350,455300,NA,75700,6495,NA,227.5,3840,NA,44000,31215,725,NA,NA,97180,NA,255000,37246.5,NA,NA,130700,416250,40000,NA,482800,485000,NA,159000,NA,130000,110000,NA,NA,156200,197700,4730,259200,78700,2600,NA,15430,8500,204300,NA,392950,NA,NA,54800,52000,NA,431350,347200,288800,NA,NA,NA,110000,NA,NA,NA,478570,232000,232000,112000,87785,NA,44320,101900,NA,103000,NA,375100,132650,171250,NA,75700,6495,NA,227.5,3840,NA,44000,31215,725,NA,NA,97180,NA,NA,37246.5,NA,NA,NA,-9450,40000,NA,-2200,NA,NA,NA,NA,130000,110000,NA,NA,156200,192970,4730,103000,78700,2600,NA,NA,8500,195800,NA,NA,NA,NA,54800,52000,NA,40150,295200,178800,NA,NA,NA,110000,NA,NA,NA,14570,232000,232000,112000,87785,NA,44320,101900,NA,103000,NA,NA
"237",1920-06-01,66325,178100,NA,26400,3094.5,NA,101.5,1040,NA,23300,7455,258,NA,NA,26565,NA,1e+05,34990,NA,NA,38130,156600,10900,NA,391430,392000,NA,137950,NA,129000,84000,NA,NA,95300,91600,975,147200,61300,100,NA,23850,6000,192600,NA,292500,NA,NA,20100,68000,NA,338400,296100,124200,NA,NA,NA,70500,NA,NA,NA,315070,180000,180000,42800,38510,NA,48590,42900,NA,27200,NA,126500,39925,85375,NA,26400,3094.5,NA,101.5,1040,NA,23300,7455,258,NA,NA,26565,NA,NA,34990,NA,NA,NA,7570,10900,NA,-570,NA,NA,NA,NA,129000,84000,NA,NA,95300,90625,975,51900,61300,100,NA,NA,6000,186600,NA,NA,NA,NA,20100,68000,NA,19000,228100,53700,NA,NA,NA,70500,NA,NA,NA,-44930,180000,180000,42800,38510,NA,48590,42900,NA,27200,NA,NA
"238",1920-07-01,12165,39100,NA,5800,1947,NA,22.5,412,NA,2800,1590,51,NA,NA,12765,NA,68300,55145,NA,NA,14580,105250,3900,NA,112970,113000,NA,50705,NA,45400,21000,NA,NA,19490,10700,315,24400,57500,0,NA,12590,2200,180000,NA,259250,NA,NA,11600,24400,NA,105050,88600,26400,NA,NA,NA,23500,NA,NA,NA,48310,29900,29900,12100,19250,NA,15040,15800,NA,2100,NA,27800,6365,21135,NA,5800,1947,NA,22.5,412,NA,2800,1590,51,NA,NA,12765,NA,NA,55145,NA,NA,NA,18470,3900,NA,-30,NA,NA,NA,NA,45400,21000,NA,NA,19490,10385,315,4910,57500,0,NA,NA,2200,177800,NA,NA,NA,NA,11600,24400,NA,13650,64200,2900,NA,NA,NA,23500,NA,NA,NA,-11490,29900,29900,12100,19250,NA,15040,15800,NA,2100,NA,NA
"239",1920-08-01,4380,12100,NA,1800,1666,NA,7.5,60,NA,400,160.5,1,NA,NA,3725,NA,58300,53340,NA,NA,7180,85385,2900,NA,34100,34100,NA,22415,NA,20500,5000,NA,NA,5980,0,78,8600,54900,0,NA,10700,1200,144900,NA,227700,NA,NA,8400,9000,NA,37750,31840,5300,NA,NA,NA,7200,NA,NA,NA,12450,6300,6300,4030,16950,NA,5680,7800,NA,0,NA,13100,2580,5920,NA,1800,1666,NA,7.5,60,NA,400,160.5,1,NA,NA,3725,NA,NA,53340,NA,NA,NA,17005,2900,NA,0,NA,NA,NA,NA,20500,5000,NA,NA,5980,-78,78,2620,54900,0,NA,NA,1200,143700,NA,NA,NA,NA,8400,9000,NA,5510,22840,-1900,NA,NA,NA,7200,NA,NA,NA,-150,6300,6300,4030,16950,NA,5680,7800,NA,0,NA,NA
"240",1920-09-01,3560,9800,NA,1400,1044,NA,9,20.5,NA,100,197.5,0,NA,NA,3300,NA,47900,42530,NA,NA,7720,69245,3600,NA,16000,16000,NA,14925,NA,13300,2800,NA,NA,3580,0,95,4600,51600,0,NA,9350,1000,126000,NA,215950,NA,NA,8300,3500,NA,21470,13410,2800,NA,NA,NA,6430,NA,NA,NA,6630,3000,3000,4490,12060,NA,3860,8000,NA,350,NA,14300,2160,4840,NA,1400,1044,NA,9,20.5,NA,100,197.5,0,NA,NA,3300,NA,NA,42530,NA,NA,NA,10025,3600,NA,0,NA,NA,NA,NA,13300,2800,NA,NA,3580,-95,95,1020,51600,0,NA,NA,1000,125000,NA,NA,NA,NA,8300,3500,NA,7960,9910,-3630,NA,NA,NA,6430,NA,NA,NA,630,3000,3000,4490,12060,NA,3860,8000,NA,350,NA,NA
"241",1920-10-01,12100,37900,NA,6800,1879,NA,18.5,352,NA,1700,3060,0,NA,NA,32210,NA,58400,49665,NA,NA,12260,89345,6300,NA,25630,25700,NA,16600,NA,14900,6600,NA,NA,8390,8300,645,13800,56100,0,NA,9930,2900,123000,NA,237750,NA,NA,12700,2700,NA,31740,21580,12500,NA,NA,NA,7440,NA,NA,NA,41080,14900,14900,12600,9270,NA,4680,11600,NA,4730,NA,42800,5300,19000,NA,6800,1879,NA,18.5,352,NA,1700,3060,0,NA,NA,32210,NA,NA,49665,NA,NA,NA,12385,6300,NA,-70,NA,NA,NA,NA,14900,6600,NA,NA,8390,7655,645,5410,56100,0,NA,NA,2900,120100,NA,NA,NA,NA,12700,2700,NA,8460,18880,5060,NA,NA,NA,7440,NA,NA,NA,11280,14900,14900,12600,9270,NA,4680,11600,NA,4730,NA,NA
"242",1920-11-01,70685,157400,NA,37100,1502,NA,49,2600,NA,1500,11180,30,NA,NA,1576400,NA,240000,44550,NA,NA,101530,529000,60500,NA,31460,31800,NA,19495,NA,15400,7300,NA,NA,10020,22800,1390,20000,201000,2300,NA,9830,3800,280000,NA,1232000,NA,NA,143500,2000,NA,39915,24100,27500,NA,NA,NA,10300,NA,NA,NA,53300,17000,17000,182000,16880,NA,4700,54200,NA,33900,NA,280100,33585,49615,NA,37100,1502,NA,49,2600,NA,1500,11180,30,NA,NA,1576400,NA,NA,44550,NA,NA,NA,126970,60500,NA,-340,NA,NA,NA,NA,15400,7300,NA,NA,10020,21410,1390,9980,201000,2300,NA,NA,3800,276200,NA,NA,NA,NA,143500,2000,NA,14315,22100,17200,NA,NA,NA,10300,NA,NA,NA,19300,17000,17000,182000,16880,NA,4700,54200,NA,33900,NA,NA
"243",1920-12-01,88585,275100,NA,58800,1540.5,NA,69.5,6395,NA,1100,38795,7240,NA,NA,2047000,NA,216000,31375,NA,NA,101570,526400,50800,NA,35120,36200,NA,20700,NA,15800,9500,NA,NA,9540,35600,3400,31900,2e+05,11000,NA,9970,4400,447300,NA,1553000,NA,NA,142600,3500,NA,38570,23420,50300,NA,NA,NA,12900,NA,NA,NA,69550,19400,19400,124000,16735,NA,3660,45600,NA,18200,NA,329000,29785,127715,NA,58800,1540.5,NA,69.5,6395,NA,1100,38795,7240,NA,NA,2047000,NA,NA,31375,NA,NA,NA,158030,50800,NA,-1080,NA,NA,NA,NA,15800,9500,NA,NA,9540,32200,3400,22360,2e+05,11000,NA,NA,4400,442900,NA,NA,NA,NA,142600,3500,NA,14050,19920,37400,NA,NA,NA,12900,NA,NA,NA,30750,19400,19400,124000,16735,NA,3660,45600,NA,18200,NA,NA
"244",1921-01-01,147650,467800,NA,89200,2655,NA,299.5,40175,NA,1300,99010,33360,NA,NA,1546000,NA,342000,56185,NA,NA,173140,821450,69800,NA,47420,50500,NA,23560,NA,16700,15000,NA,NA,12210,79900,7990,99200,273000,83000,NA,10460,4500,549000,NA,2117500,NA,NA,220100,4700,NA,66020,44840,116800,NA,NA,NA,18000,NA,NA,NA,196200,23200,23200,188000,23750,NA,3460,64400,NA,21200,NA,420800,58450,230950,NA,89200,2655,NA,299.5,40175,NA,1300,99010,33360,NA,NA,1546000,NA,NA,56185,NA,NA,NA,236510,69800,NA,-3080,NA,NA,NA,NA,16700,15000,NA,NA,12210,71910,7990,86990,273000,83000,NA,NA,4500,544500,NA,NA,NA,NA,220100,4700,NA,19880,40140,98800,NA,NA,NA,18000,NA,NA,NA,149800,23200,23200,188000,23750,NA,3460,64400,NA,21200,NA,NA
"245",1921-02-01,113950,319700,NA,68300,2092.5,NA,171.5,15105,NA,1900,59420,6480,NA,NA,1267500,NA,256000,49860,NA,NA,117280,558000,32600,NA,58030,62200,NA,30795,NA,20300,20000,NA,NA,16920,62200,7290,79000,209000,23300,NA,10650,5400,548100,NA,1564500,NA,NA,164000,3500,NA,77775,54210,96000,NA,NA,NA,21500,NA,NA,NA,155940,28900,28900,172000,21825,NA,5030,48700,NA,16600,NA,279700,45650,137450,NA,68300,2092.5,NA,171.5,15105,NA,1900,59420,6480,NA,NA,1267500,NA,NA,49860,NA,NA,NA,152120,32600,NA,-4170,NA,NA,NA,NA,20300,20000,NA,NA,16920,54910,7290,62080,209000,23300,NA,NA,5400,542700,NA,NA,NA,NA,164000,3500,NA,21665,50710,74500,NA,NA,NA,21500,NA,NA,NA,98140,28900,28900,172000,21825,NA,5030,48700,NA,16600,NA,NA
"246",1921-03-01,216290,535300,NA,118000,7230,NA,749.5,12395,NA,5700,88640,7390,NA,NA,752900,NA,433000,59000,NA,NA,232840,914100,66100,NA,122580,133000,NA,55400,NA,36600,39000,NA,NA,41890,110100,13090,107300,247000,26000,NA,11770,7800,503100,NA,1578500,NA,NA,204100,8800,NA,165550,105900,157000,NA,NA,NA,54400,NA,NA,NA,231770,53200,53200,286000,61565,NA,9790,88100,NA,47300,NA,472900,98290,201010,NA,118000,7230,NA,749.5,12395,NA,5700,88640,7390,NA,NA,752900,NA,NA,59000,NA,NA,NA,182160,66100,NA,-10420,NA,NA,NA,NA,36600,39000,NA,NA,41890,97010,13090,65410,247000,26000,NA,NA,7800,495300,NA,NA,NA,NA,204100,8800,NA,53950,97100,102600,NA,NA,NA,54400,NA,NA,NA,125370,53200,53200,286000,61565,NA,9790,88100,NA,47300,NA,NA
"247",1921-04-01,193340,420900,NA,93200,2256.5,NA,177.5,3695,NA,16400,48080,1110,NA,NA,279250,NA,346000,89820,NA,NA,181360,717250,48400,NA,180000,184000,NA,51705,NA,43700,49300,NA,NA,74500,125300,8040,142300,173000,3200,NA,8930,13600,337000,NA,918650,NA,NA,129200,14200,NA,196600,146000,189100,NA,NA,NA,70200,NA,NA,NA,254350,83300,83300,236000,69500,NA,15660,90600,NA,59800,NA,413800,100140,134360,NA,93200,2256.5,NA,177.5,3695,NA,16400,48080,1110,NA,NA,279250,NA,NA,89820,NA,NA,NA,141490,48400,NA,-4000,NA,NA,NA,NA,43700,49300,NA,NA,74500,117260,8040,67800,173000,3200,NA,NA,13600,323400,NA,NA,NA,NA,129200,14200,NA,34200,131800,118900,NA,NA,NA,70200,NA,NA,NA,87750,83300,83300,236000,69500,NA,15660,90600,NA,59800,NA,NA
"248",1921-05-01,226450,525400,NA,1e+05,4086,NA,1090,1970,NA,39800,38295,636,NA,NA,180600,NA,401000,158700,NA,NA,198590,816450,47200,NA,388530,390000,NA,100050,NA,87900,89200,NA,NA,139000,225300,5710,245600,141000,1100,NA,14400,23100,295200,NA,758250,NA,NA,12560,38800,NA,345600,276200,308700,NA,NA,NA,118000,NA,NA,NA,442190,202000,202000,311000,93665,NA,40850,127600,NA,114000,NA,498200,126450,198950,NA,1e+05,4086,NA,1090,1970,NA,39800,38295,636,NA,NA,180600,NA,NA,158700,NA,NA,NA,169660,47200,NA,-1470,NA,NA,NA,NA,87900,89200,NA,NA,139000,219590,5710,106600,141000,1100,NA,NA,23100,272100,NA,NA,NA,NA,12560,38800,NA,29600,237400,190700,NA,NA,NA,118000,NA,NA,NA,38190,202000,202000,311000,93665,NA,40850,127600,NA,114000,NA,NA
"249",1921-06-01,152400,374800,NA,59400,1539,NA,410,930,NA,28600,17205,298,NA,NA,51395,NA,224000,93665,NA,NA,94630,425900,18800,NA,443270,444000,NA,120200,NA,114000,85100,NA,NA,141100,183000,2190,215500,98200,100,NA,24900,16400,252900,NA,495100,NA,NA,63600,82000,NA,420700,352900,239000,NA,NA,NA,114000,NA,NA,NA,458320,270000,270000,207000,76200,NA,70930,100500,NA,82000,NA,315300,93000,163000,NA,59400,1539,NA,410,930,NA,28600,17205,298,NA,NA,51395,NA,NA,93665,NA,NA,NA,88470,18800,NA,-730,NA,NA,NA,NA,114000,85100,NA,NA,141100,180810,2190,74400,98200,100,NA,NA,16400,236500,NA,NA,NA,NA,63600,82000,NA,39200,270900,125000,NA,NA,NA,114000,NA,NA,NA,-81680,270000,270000,207000,76200,NA,70930,100500,NA,82000,NA,NA
"250",1921-07-01,30255,71000,NA,10400,2187.5,NA,107,221,NA,2700,2510,123,NA,NA,12685,NA,132000,77165,NA,NA,28130,175050,6000,NA,128950,129000,NA,49110,NA,44400,20000,NA,NA,38730,20400,532,46200,78100,0,NA,17600,6100,206100,NA,331900,NA,NA,18700,37500,NA,149950,131400,52700,NA,NA,NA,35900,NA,NA,NA,95170,61200,61200,52700,26665,NA,29190,31800,NA,8130,NA,63800,19855,30345,NA,10400,2187.5,NA,107,221,NA,2700,2510,123,NA,NA,12685,NA,NA,77165,NA,NA,NA,8920,6000,NA,-50,NA,NA,NA,NA,44400,20000,NA,NA,38730,19868,532,7470,78100,0,NA,NA,6100,2e+05,NA,NA,NA,NA,18700,37500,NA,15850,93900,16800,NA,NA,NA,35900,NA,NA,NA,-27230,61200,61200,52700,26665,NA,29190,31800,NA,8130,NA,NA
"251",1921-08-01,7230,12300,NA,3500,594,NA,12.5,18,NA,200,282.5,61,NA,NA,7445,NA,87600,60130,NA,NA,13990,111150,3900,NA,29500,29500,NA,18085,NA,18400,4060,NA,NA,6090,900,169,8600,68900,0,NA,11300,3400,153000,NA,266400,NA,NA,13500,9000,NA,41630,30320,8900,NA,NA,NA,10300,NA,NA,NA,13500,7000,7000,15200,17875,NA,8480,11200,NA,1940,NA,29600,3730,1570,NA,3500,594,NA,12.5,18,NA,200,282.5,61,NA,NA,7445,NA,NA,60130,NA,NA,NA,5660,3900,NA,0,NA,NA,NA,NA,18400,4060,NA,NA,6090,731,169,2510,68900,0,NA,NA,3400,149600,NA,NA,NA,NA,13500,9000,NA,11110,21320,-1400,NA,NA,NA,10300,NA,NA,NA,-500,7000,7000,15200,17875,NA,8480,11200,NA,1940,NA,NA
"252",1921-09-01,4995,6300,NA,2900,1343.5,NA,11,19.5,NA,400,212,30,NA,NA,6010,NA,64200,55045,NA,NA,10880,92920,3500,NA,16100,16100,NA,12600,NA,13600,2610,NA,NA,2590,800,156,4200,63100,0,NA,9760,2700,139500,NA,251600,NA,NA,12300,4000,NA,25155,15200,3700,NA,NA,NA,6430,NA,NA,NA,6560,1800,1800,8930,16830,NA,4250,11300,NA,1550,NA,22200,2095,-1595,NA,2900,1343.5,NA,11,19.5,NA,400,212,30,NA,NA,6010,NA,NA,55045,NA,NA,NA,14340,3500,NA,0,NA,NA,NA,NA,13600,2610,NA,NA,2590,644,156,1610,63100,0,NA,NA,2700,136800,NA,NA,NA,NA,12300,4000,NA,9555,11200,-2730,NA,NA,NA,6430,NA,NA,NA,2960,1800,1800,8930,16830,NA,4250,11300,NA,1550,NA,NA
"253",1921-10-01,5650,14200,NA,4100,2240,NA,20,157.5,NA,134,442,31,NA,NA,6710,NA,65400,53790,NA,NA,10590,90215,3200,540.5,13970,14000,NA,13190,NA,12200,2510,NA,NA,1470,2300,201,3100,63300,0,NA,9280,1700,125000,NA,253950,NA,NA,12700,665.5,230000,18475,10890,4300,NA,NA,NA,4310,NA,NA,NA,5800,1000,1000,10900,13840,NA,3210,9800,NA,570,NA,25100,1550,4450,NA,4100,2240,NA,20,157.5,NA,134,442,31,NA,NA,6710,NA,NA,53790,NA,NA,NA,11025,3200,540.5,-30,13459.5,NA,NA,NA,12200,2510,NA,NA,1470,2099,201,1630,63300,0,NA,NA,1700,123300,NA,-52050,NA,NA,12700,665.5,NA,7451,10224.5,-10,NA,NA,NA,4310,NA,NA,NA,3800,1000,1000,10900,13840,NA,3210,9800,NA,570,NA,NA
"254",1921-11-01,6340,38800,NA,3700,143.5,NA,27.5,339.5,NA,34,1140,37,NA,NA,44150,NA,62500,42070,NA,NA,13930,98525,3300,561.5,12100,12100,NA,12980,NA,10900,2470,NA,NA,1250,2400,279,3500,61900,0,NA,9520,2200,145000,NA,285450,NA,NA,14000,1105,235000,16470,8920,5600,NA,NA,NA,3390,NA,NA,NA,6080,700,700,20900,12725,NA,2820,11200,NA,2700,NA,31200,2640,28760,NA,3700,143.5,NA,27.5,339.5,NA,34,1140,37,NA,NA,44150,NA,NA,42070,NA,NA,NA,18795,3300,561.5,0,11538.5,NA,NA,NA,10900,2470,NA,NA,1250,2121,279,2250,61900,0,NA,NA,2200,142800,NA,-25450,NA,NA,14000,1105,NA,7516,7815,2210,NA,NA,NA,3390,NA,NA,NA,4680,700,700,20900,12725,NA,2820,11200,NA,2700,NA,NA
"255",1921-12-01,25120,131000,NA,19100,26380,NA,8130,32490,NA,1363,13810,7090,NA,NA,377250,NA,90600,49820,NA,NA,32870,192250,11300,2860,53880,56100,NA,21640,NA,16700,13100,NA,NA,2630,11500,1590,44100,81800,67000,NA,10000,2600,193500,NA,538550,NA,NA,34000,1502,332000,61210,28100,25100,NA,NA,NA,4430,NA,NA,NA,54600,4600,4600,35700,12705,NA,2590,17000,NA,3630,NA,112900,6020,86780,NA,19100,26380,NA,8130,32490,NA,1363,13810,7090,NA,NA,377250,NA,NA,49820,NA,NA,NA,57480,11300,2860,-2220,53240,NA,NA,NA,16700,13100,NA,NA,2630,9910,1590,41470,81800,67000,NA,NA,2600,190900,NA,90750,NA,NA,34000,1502,NA,31747,26598,20670,NA,NA,NA,4430,NA,NA,NA,45400,4600,4600,35700,12705,NA,2590,17000,NA,3630,NA,NA
"256",1922-01-01,30485,112700,NA,22100,12415,NA,4570,10585,NA,1089,17610,3590,NA,NA,236050,NA,94900,47910,NA,NA,30840,188300,11300,3660,63110,68900,NA,30685,NA,18100,17300,NA,NA,7380,21500,2050,40200,76900,17600,NA,11000,2600,172800,NA,425450,NA,NA,32100,3437.5,299000,67055,36240,35300,NA,NA,NA,7110,NA,NA,NA,71720,12900,12900,30400,17685,NA,2610,21900,NA,7810,NA,121500,8385,60115,NA,22100,12415,NA,4570,10585,NA,1089,17610,3590,NA,NA,236050,NA,NA,47910,NA,NA,NA,51260,11300,3660,-5790,65240,NA,NA,NA,18100,17300,NA,NA,7380,19450,2050,32820,76900,17600,NA,NA,2600,170200,NA,17450,NA,NA,32100,3437.5,NA,29726,32802.5,28190,NA,NA,NA,7110,NA,NA,NA,45920,12900,12900,30400,17685,NA,2610,21900,NA,7810,NA,NA
"257",1922-02-01,101100,360100,NA,85000,21520,NA,6205,102100,NA,1413,104250,43390,NA,NA,1172150,NA,154000,33600,NA,NA,80490,406300,38400,3330,81680,90000,NA,33820,NA,18700,26600,NA,NA,6970,59900,7450,163200,135000,234200,NA,11900,3100,313200,NA,959150,NA,NA,87100,3661.5,542000,97315,39090,106800,NA,NA,NA,9550,NA,NA,NA,189460,15300,15300,45300,15775,NA,2510,28100,NA,4440,NA,317900,16100,174000,NA,85000,21520,NA,6205,102100,NA,1413,104250,43390,NA,NA,1172150,NA,NA,33600,NA,NA,NA,133410,38400,3330,-8320,86670,NA,NA,NA,18700,26600,NA,NA,6970,52450,7450,156230,135000,234200,NA,NA,3100,310100,NA,195050,NA,NA,87100,3661.5,NA,56812,35428.5,97250,NA,NA,NA,9550,NA,NA,NA,158860,15300,15300,45300,15775,NA,2510,28100,NA,4440,NA,NA
"258",1922-03-01,125140,324600,NA,78100,15455,NA,3060,26805,NA,2019,69630,8750,NA,NA,769050,NA,188000,54540,NA,NA,94110,440450,34900,4210,92130,97800,NA,52425,NA,32000,30900,NA,NA,12610,57400,7690,117300,139000,46000,NA,14000,4500,410400,NA,872500,NA,NA,90000,5392,604000,103850,58420,103300,NA,NA,NA,17700,NA,NA,NA,181280,26900,26900,75600,19980,NA,3220,38700,NA,9520,NA,261200,47040,121360,NA,78100,15455,NA,3060,26805,NA,2019,69630,8750,NA,NA,769050,NA,NA,54540,NA,NA,NA,123440,34900,4210,-5670,93590,NA,NA,NA,32000,30900,NA,NA,12610,49710,7690,104690,139000,46000,NA,NA,4500,405900,NA,39500,NA,NA,90000,5392,NA,43411,53028,85600,NA,NA,NA,17700,NA,NA,NA,127480,26900,26900,75600,19980,NA,3220,38700,NA,9520,NA,NA
"259",1922-04-01,214990,480200,NA,104000,18785,NA,1690,11595,NA,7000,83895,4020,NA,NA,631950,NA,444000,66550,NA,NA,299260,879950,48200,27000,159920,163000,NA,84405,NA,57000,50500,NA,NA,40450,108300,12040,124300,161000,10400,NA,21900,7800,485000,NA,1053500,NA,NA,114100,13857,772000,199200,141200,169900,NA,NA,NA,55900,NA,NA,NA,260350,58900,58900,155000,50785,NA,7040,74600,NA,47900,NA,421200,110990,161210,NA,104000,18785,NA,1690,11595,NA,7000,83895,4020,NA,NA,631950,NA,NA,66550,NA,NA,NA,88490,48200,27000,-3080,136000,NA,NA,NA,57000,50500,NA,NA,40450,96260,12040,83850,161000,10400,NA,NA,7800,477200,NA,6400,NA,NA,114100,13857,NA,51000,127343,114000,NA,NA,NA,55900,NA,NA,NA,142550,58900,58900,155000,50785,NA,7040,74600,NA,47900,NA,NA
"260",1922-05-01,446650,1027000,NA,210000,24590,NA,936,5230,NA,59273,97295,1230,NA,NA,294700,NA,843000,153850,NA,NA,441610,1520000,95500,160350,660430,664000,NA,242150,NA,187000,155000,NA,NA,217900,334200,18400,416500,165000,3100,NA,18400,13500,382700,NA,861950,NA,NA,125600,67140,623000,651850,538400,494500,NA,NA,NA,194000,NA,NA,NA,717530,292000,292000,267000,203835,NA,58030,216100,NA,166000,NA,869300,236650,370350,NA,210000,24590,NA,936,5230,NA,59273,97295,1230,NA,NA,294700,NA,NA,153850,NA,NA,NA,139890,95500,160350,-3570,503650,NA,NA,NA,187000,155000,NA,NA,217900,315800,18400,198600,165000,3100,NA,NA,13500,369200,NA,-51650,NA,NA,125600,67140,NA,54177,471260,300500,NA,NA,NA,194000,NA,NA,NA,133530,292000,292000,267000,203835,NA,58030,216100,NA,166000,NA,NA
"261",1922-06-01,274200,677300,NA,120000,11950,NA,441.5,2035,NA,76516,32690,601,NA,NA,76460,NA,369000,93260,NA,NA,203990,690600,46100,164250,706450,708000,NA,202200,NA,191000,118000,NA,NA,232800,283800,5570,400400,98800,600,NA,37700,9500,283500,NA,464900,NA,NA,42800,123096.5,335000,746100,669500,378300,NA,NA,NA,184000,NA,NA,NA,751930,392000,392000,111000,133180,NA,96120,206000,NA,132000,NA,650000,154200,283100,NA,120000,11950,NA,441.5,2035,NA,76516,32690,601,NA,NA,76460,NA,NA,93260,NA,NA,NA,71510,46100,164250,-1550,543750,NA,NA,NA,191000,118000,NA,NA,232800,278230,5570,167600,98800,600,NA,NA,9500,274000,NA,-11700,NA,NA,42800,123096.5,NA,84,546403.5,194300,NA,NA,NA,184000,NA,NA,NA,-32070,392000,392000,111000,133180,NA,96120,206000,NA,132000,NA,NA
"262",1922-07-01,39635,93600,NA,17300,8130,NA,207.5,788.5,NA,8528,4225,240,NA,NA,14355,NA,127000,56850,NA,NA,42520,187800,8600,27775,225840,226000,NA,88675,NA,79900,31100,NA,NA,68970,39800,973,86300,71900,100,NA,29800,3600,205200,NA,300850,NA,NA,14400,65589.5,238000,268000,251000,86500,NA,NA,NA,56200,NA,NA,NA,194560,112000,112000,20200,34850,NA,44410,45800,NA,15100,NA,103800,22335,36665,NA,17300,8130,NA,207.5,788.5,NA,8528,4225,240,NA,NA,14355,NA,NA,56850,NA,NA,NA,9680,8600,27775,-160,198225,NA,NA,NA,79900,31100,NA,NA,68970,38827,973,17330,71900,100,NA,NA,3600,201600,NA,-23450,NA,NA,14400,65589.5,NA,8472,185410.5,30300,NA,NA,NA,56200,NA,NA,NA,-29440,112000,112000,20200,34850,NA,44410,45800,NA,15100,NA,NA
