"","DATE","AMA","AMF","AMK","AMN","ANM","ANT","ASP","ASS","ASV","BHN","CSN","CYO","DAV","EFC","ERS","EWR","FPL","FPR","FRD","FTC","FTM","FTO","FTP","KGC","KGF","KGP","KLO","KRB","KRI","KRK","KWT","LNV","MBS","MDP","MKM","MKW","MRC","MSS","NCD","NPH","OWL","PLK","PSH","RRH","SBB","SCC","SCU","SDT","SFR","SIS","SJF","SJM","SNS","SQS","SRS","SSP","STB","SVC","SWH","THT","TLG","TLM","TLN","TNL","TRF","WFC","WWR","YBG","YBM","YBS","YCB","YRS","AMA_INC","AMF_INC","AMK_INC","AMN_INC","ANM_INC","ANT_INC","ASP_INC","ASS_INC","ASV_INC","BHN_INC","CSN_INC","CYO_INC","DAV_INC","EFC_INC","ERS_INC","EWR_INC","FPL_INC","FPR_INC","FRD_INC","FTC_INC","FTM_INC","FTO_INC","FTP_INC","KGC_INC","KGF_INC","KGP_INC","KLO_INC","KRB_INC","KRI_INC","KRK_INC","KWT_INC","LNV_INC","MBS_INC","MDP_INC","MKM_INC","MKW_INC","MRC_INC","MSS_INC","NCD_INC","NPH_INC","OWL_INC","PLK_INC","PSH_INC","RRH_INC","SBB_INC","SCC_INC","SCU_INC","SDT_INC","SFR_INC","SIS_INC","SJF_INC","SJM_INC","SNS_INC","SQS_INC","SRS_INC","SSP_INC","STB_INC","SVC_INC","SWH_INC","THT_INC","TLG_INC","TLM_INC","TLN_INC","TNL_INC","TRF_INC","WFC_INC","WWR_INC","YBG_INC","YBM_INC","YBS_INC","YCB_INC","YRS_INC"
"11",1901-08-01,10800,21600,NA,5030,1640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7300,NA,140890,140930,NA,59520,NA,NA,18000,NA,NA,33000,7000,NA,43200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44000,NA,145910,NA,24600,NA,NA,NA,NA,NA,NA,NA,51900,NA,35000,NA,NA,NA,NA,NA,NA,NA,NA,28400,5770,5770,NA,5030,1640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7300,NA,-40,NA,NA,NA,NA,NA,18000,NA,NA,33000,NA,NA,10200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1901-09-01,11500,29600,NA,6500,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5700,NA,31770,31770,NA,20530,NA,NA,5500,NA,NA,8100,3000,NA,10900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5900,NA,19870,NA,7200,NA,NA,NA,NA,NA,NA,NA,10700,NA,5400,NA,NA,NA,NA,NA,NA,NA,NA,30700,5000,11600,NA,6500,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5700,NA,0,NA,NA,NA,NA,NA,5500,NA,NA,8100,NA,NA,2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5400,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1901-10-01,19400,46000,NA,9200,1610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7400,NA,32800,32890,NA,19490,NA,NA,7900,NA,NA,10100,3000,NA,16200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4300,NA,30100,NA,9200,NA,NA,NA,NA,NA,NA,NA,13700,NA,6300,NA,NA,NA,NA,NA,NA,NA,NA,37100,10200,17400,NA,9200,1610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7400,NA,-90,NA,NA,NA,NA,NA,7900,NA,NA,10100,NA,NA,6100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6300,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1901-11-01,30800,66800,NA,15600,1620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13000,NA,40710,41290,NA,22430,NA,NA,12600,NA,NA,8100,15000,NA,23700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4200,NA,41800,NA,16600,NA,NA,NA,NA,NA,NA,NA,35900,NA,10600,NA,NA,NA,NA,NA,NA,NA,NA,73500,15200,20400,NA,15600,1620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13000,NA,-580,NA,NA,NA,NA,NA,12600,NA,NA,8100,NA,NA,15600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10600,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1901-12-01,48000,93000,NA,21800,1480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16400,NA,39710,41070,NA,19860,NA,NA,13500,NA,NA,10600,37000,NA,35400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6000,NA,53600,NA,52300,NA,NA,NA,NA,NA,NA,NA,86400,NA,28500,NA,NA,NA,NA,NA,NA,NA,NA,118000,26200,23200,NA,21800,1480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16400,NA,-1360,NA,NA,NA,NA,NA,13500,NA,NA,10600,NA,NA,24800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1902-01-01,23500,64000,NA,13700,1590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7900,NA,27050,27050,NA,17400,NA,NA,8600,NA,NA,3900,10000,NA,14400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300,NA,31200,NA,14000,NA,NA,NA,NA,NA,NA,NA,22500,NA,4700,NA,NA,NA,NA,NA,NA,NA,NA,110000,9800,26800,NA,13700,1590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7900,NA,0,NA,NA,NA,NA,NA,8600,NA,NA,3900,NA,NA,10500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4700,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1902-02-01,177000,418500,NA,109000,2370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60200,NA,36540,36930,NA,20600,NA,NA,12200,NA,NA,5500,36000,NA,41400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200,NA,42500,NA,50900,NA,NA,NA,NA,NA,NA,NA,84000,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA,599000,68000,132500,NA,109000,2370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60200,NA,-390,NA,NA,NA,NA,NA,12200,NA,NA,5500,NA,NA,35900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1902-03-01,175000,379000,NA,96000,6140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41900,NA,83050,87310,NA,48560,NA,NA,28600,NA,NA,18500,60000,NA,83600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5700,NA,100600,NA,85000,NA,NA,NA,NA,NA,NA,NA,139000,NA,33500,NA,NA,NA,NA,NA,NA,NA,NA,347000,79000,108000,NA,96000,6140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41900,NA,-4260,NA,NA,NA,NA,NA,28600,NA,NA,18500,NA,NA,65100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1902-04-01,3e+05,565500,NA,141000,5430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63500,NA,240900,247710,NA,107410,NA,NA,71500,NA,NA,66000,140000,NA,145900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17100,NA,272700,NA,225500,NA,NA,NA,NA,NA,NA,NA,292000,NA,102000,NA,NA,NA,NA,NA,NA,NA,NA,449000,159000,124500,NA,141000,5430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63500,NA,-6810,NA,NA,NA,NA,NA,71500,NA,NA,66000,NA,NA,79900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1902-05-01,295000,580000,NA,131000,2120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46000,NA,400070,401630,NA,109880,NA,NA,88300,NA,NA,140000,185000,NA,232800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60000,NA,421500,NA,256000,NA,NA,NA,NA,NA,NA,NA,398000,NA,190000,NA,NA,NA,NA,NA,NA,NA,NA,448000,164000,154000,NA,131000,2120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46000,NA,-1560,NA,NA,NA,NA,NA,88300,NA,NA,140000,NA,NA,92800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190000,NA,NA,NA,NA,NA,NA,NA,NA,NA
